id,Fill Percentage,battery,eventDate,Distance
5c2bf397530484f84463,70,56,2022-09-25T12:06:41.265Z,798
5c2bf397530484f84463,70,56,2022-09-25T12:11:42.497Z,800
5c2bf397530484f84463,69,56,2022-09-25T12:16:43.875Z,804
5c2bf397530484f84463,79,56,2022-09-25T12:21:45.116Z,613
5c2bf397530484f84463,70,56,2022-09-25T12:26:46.436Z,792
5c2bf397530484f84463,69,56,2022-09-25T12:31:47.727Z,806
5c2bf397530484f84463,69,56,2022-09-25T12:36:49.090Z,804
5c2bf397530484f84463,69,56,2022-09-25T12:41:50.364Z,812
5c2bf397530484f84463,69,56,2022-09-25T12:46:51.550Z,817
5c2bf397530484f84463,70,56,2022-09-25T12:51:52.984Z,799
5c2bf397530484f84463,69,56,2022-09-25T12:56:54.246Z,803
5c2bf397530484f84463,69,56,2022-09-25T13:01:55.573Z,801
5c2bf397530484f84463,70,56,2022-09-25T13:06:56.903Z,799
5c2bf397530484f84463,82,56,2022-09-25T13:11:58.226Z,559
5c2bf397530484f84463,69,56,2022-09-25T13:16:59.686Z,813
5c2bf397530484f84463,70,56,2022-09-25T13:22:00.828Z,792
5c2bf397530484f84463,70,56,2022-09-25T13:27:02.108Z,792
5c2bf397530484f84463,79,56,2022-09-25T13:32:03.457Z,619
5c2bf397530484f84463,69,56,2022-09-25T13:37:04.737Z,807
5c2bf397530484f84463,85,56,2022-09-25T13:42:06.021Z,485
5c2bf397530484f84463,70,56,2022-09-25T13:47:07.504Z,795
5c2bf397530484f84463,69,56,2022-09-25T13:52:08.744Z,813
5c2bf397530484f84463,78,56,2022-09-25T13:57:10.102Z,636
5c2bf397530484f84463,69,56,2022-09-25T14:02:11.438Z,808
5c2bf397530484f84463,69,56,2022-09-25T14:07:12.756Z,818
5c2bf397530484f84463,70,56,2022-09-25T14:12:14.056Z,798
5c2bf397530484f84463,69,56,2022-09-25T14:17:15.383Z,808
5c2bf397530484f84463,69,56,2022-09-25T14:22:16.657Z,807
5c2bf397530484f84463,69,56,2022-09-25T14:27:18.005Z,808
5c2bf397530484f84463,69,56,2022-09-25T14:32:19.297Z,815
5c2bf397530484f84463,78,56,2022-09-25T14:37:20.579Z,633
5c2bf397530484f84463,69,56,2022-09-25T14:42:21.895Z,804
5c2bf397530484f84463,80,56,2022-09-25T14:47:23.125Z,596
5c2bf397530484f84463,80,56,2022-09-25T14:52:24.540Z,600
5c2bf397530484f84463,69,56,2022-09-25T14:57:25.777Z,810
5c2bf397530484f84463,69,56,2022-09-25T15:02:27.135Z,815
5c2bf397530484f84463,69,56,2022-09-25T15:07:28.356Z,816
5c2bf397530484f84463,69,56,2022-09-25T15:12:29.646Z,818
5c2bf397530484f84463,69,56,2022-09-25T15:17:31.104Z,814
5c2bf397530484f84463,69,56,2022-09-25T15:22:32.391Z,816
5c2bf397530484f84463,69,56,2022-09-25T15:27:33.695Z,814
5c2bf397530484f84463,70,56,2022-09-25T15:32:35.014Z,795
5c2bf397530484f84463,69,56,2022-09-25T15:37:36.332Z,815
5c2bf397530484f84463,69,56,2022-09-25T15:42:37.654Z,816
5c2bf397530484f84463,78,56,2022-09-25T15:47:38.774Z,628
5c2bf397530484f84463,69,56,2022-09-25T15:52:40.290Z,816
